Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Label
28.92,0.375,0.29,0,220,141,1,0,0,0,2,2,4,8,0
31.67,0.83,1.335,8,303,3291,1,1,1,1,2,2,4,14,1
22.67,7.0,0.165,0,160,1,0,0,0,0,2,2,4,8,0
29.5,1.085,1.0,0,280,14,0,0,0,0,2,1,4,14,0
33.17,3.04,2.04,1,180,18028,1,1,1,1,2,1,8,8,1
22.17,0.585,0.0,0,100,1,1,0,0,0,2,1,1,1,0
22.67,0.75,2.0,2,200,395,0,0,1,1,2,2,4,8,0
28.25,5.04,1.5,8,144,8,1,1,1,1,2,1,5,8,1
23.33,11.625,0.835,0,160,301,1,1,0,1,2,1,4,9,1
18.92,9.25,1.0,4,80,501,0,1,1,1,2,1,4,8,1
31.67,16.165,3.0,9,250,731,1,1,1,0,2,2,4,2,1
30.17,1.085,0.04,0,170,180,1,0,0,0,2,1,4,8,0
18.25,10.0,1.0,1,120,2,0,0,1,0,2,2,4,9,0
54.83,15.5,0.0,20,152,131,1,1,1,0,2,2,9,10,0
42.75,4.085,0.04,0,108,101,1,0,0,0,2,2,4,6,0
21.5,9.75,0.25,0,140,1,1,1,0,0,2,2,4,8,0
20.83,3.0,0.04,0,100,1,0,1,0,0,2,2,4,6,1
20.5,2.415,2.0,11,200,3001,1,1,1,1,2,2,4,8,1
22.0,0.79,0.29,1,420,284,1,0,1,0,2,2,4,9,0
17.92,10.21,0.0,0,0,51,0,0,0,0,2,2,1,1,0
26.83,0.54,0.0,0,100,1,1,0,0,0,2,2,1,4,0
28.25,0.875,0.96,3,396,1,1,1,1,1,2,2,4,7,1
20.67,1.25,1.375,3,140,211,1,1,1,1,2,1,8,8,0
47.17,5.835,5.5,0,465,151,1,0,0,0,2,2,4,9,0
71.58,0.0,0.0,0,184,1,0,0,0,0,3,2,4,8,1
41.0,0.04,0.04,1,560,1,1,0,1,0,1,2,4,10,1
13.75,4.0,1.75,2,120,1001,1,1,1,1,2,1,4,9,1
35.58,0.75,1.5,0,231,1,1,0,0,1,2,2,4,4,0
33.58,0.25,4.0,0,420,1,1,0,0,1,1,2,5,3,0
37.33,2.665,0.165,0,0,502,1,0,0,1,2,2,4,13,0
25.67,3.25,2.29,1,416,22,1,0,1,1,2,2,8,8,0
25.25,1.0,0.5,0,200,1,1,0,0,0,2,2,4,6,0
64.08,20.0,17.5,9,0,1001,1,1,1,1,2,2,8,14,1
16.33,0.21,0.125,0,200,2,0,0,0,0,2,2,4,6,0
58.58,2.71,2.415,0,320,1,1,0,0,1,2,2,4,8,0
28.75,1.5,1.5,0,0,226,1,1,0,1,2,1,4,8,0
27.58,3.25,5.085,2,369,2,1,0,1,1,2,1,8,11,0
29.42,1.25,0.25,2,400,109,1,0,1,1,2,2,8,8,0
22.67,0.165,2.25,0,0,1,1,0,0,1,1,2,3,8,1
20.83,0.5,1.0,0,260,1,0,0,0,0,2,1,2,10,0
39.08,6.0,1.29,5,108,1098,1,1,1,1,2,2,4,7,1
23.5,9.0,8.5,5,120,1,0,1,1,1,2,2,4,11,1
26.67,14.585,0.0,0,178,1,1,0,0,1,2,2,5,3,0
29.25,14.79,5.04,5,168,1,1,1,1,1,2,2,4,6,1
19.17,5.415,0.29,0,80,485,0,0,0,0,2,2,8,3,0
33.25,3.0,2.0,0,180,1,0,0,0,0,2,1,4,6,0
25.92,0.875,0.375,2,174,4,1,0,1,1,2,2,4,4,0
57.08,19.5,5.5,7,0,3001,0,1,1,0,2,2,4,8,1
25.75,0.5,1.46,5,312,1,1,1,1,1,2,2,4,8,1
32.0,1.75,0.04,0,393,1,1,1,0,1,2,1,8,10,1
21.08,4.125,0.04,0,140,101,1,0,0,0,2,1,8,3,0
30.5,6.5,4.0,7,0,3066,0,1,1,1,2,2,5,8,1
27.83,4.0,5.75,2,75,1,1,1,1,1,2,1,8,3,0
28.58,3.75,0.25,1,40,155,0,0,1,1,2,2,4,8,0
18.08,0.375,10.0,0,300,1,0,0,0,1,1,3,1,13,1
16.5,0.125,0.165,0,132,1,1,0,0,0,2,2,4,8,0
22.58,10.75,0.415,5,0,561,0,1,1,1,2,2,4,11,1
37.5,1.125,1.5,0,431,1,1,0,0,1,2,1,4,2,1
25.67,12.5,1.21,67,140,259,1,1,1,1,2,2,4,13,1
25.0,0.875,1.04,0,160,5861,0,1,0,1,2,2,8,14,1
39.0,5.0,3.5,10,0,1,1,1,1,1,2,2,4,13,1
48.58,0.205,0.25,11,380,2733,1,1,1,0,2,1,4,4,1
21.5,6.0,2.5,3,80,919,0,1,1,0,2,2,4,6,1
28.08,15.0,0.0,0,0,13213,0,1,0,0,2,1,9,10,1
20.67,3.0,0.165,3,100,7,0,1,1,0,2,2,4,11,1
18.83,0.415,0.165,1,200,2,1,0,1,0,2,1,4,8,0
21.83,1.54,0.085,0,356,1,1,0,0,1,2,2,4,4,0
30.83,0.0,1.25,1,202,1,1,1,1,0,2,2,4,9,1
28.0,3.0,0.75,0,300,68,1,0,0,1,2,2,4,9,0
34.25,3.0,7.415,0,0,1,1,1,0,1,2,2,8,13,1
23.17,0.0,0.0,0,184,1,1,0,0,0,3,2,4,8,1
18.0,0.165,0.21,0,200,41,1,0,0,0,2,2,7,11,1
34.5,4.04,8.5,7,195,1,1,1,1,1,2,1,5,3,1
22.5,8.46,2.46,0,164,1,0,0,0,0,2,1,4,14,1
20.67,1.835,2.085,5,220,2504,0,1,1,0,2,2,4,11,1
20.75,5.085,0.29,0,140,185,1,0,0,0,2,1,4,5,0
29.75,0.665,0.25,0,300,1,0,0,0,1,2,2,4,9,0
18.17,10.25,1.085,0,320,14,1,0,0,0,2,2,8,8,0
36.67,4.415,0.25,10,320,1,1,1,1,1,2,1,4,4,1
68.67,15.0,0.0,14,0,3377,0,1,1,0,2,2,9,10,1
47.67,2.5,2.5,12,410,2511,1,1,1,1,2,2,5,7,1
31.57,3.0,7.0,0,0,2,1,0,0,0,2,1,5,3,0
33.67,2.165,1.5,0,120,1,1,0,0,0,3,2,4,8,0
23.42,0.585,0.085,0,180,1,1,1,0,0,2,2,8,8,0
33.17,1.04,6.5,0,164,31286,1,1,0,1,2,2,8,12,1
39.17,1.71,0.125,5,480,1,1,1,1,1,2,2,4,14,1
17.67,4.46,0.25,0,80,1,1,0,0,0,1,2,4,8,0
41.92,0.42,0.21,6,220,949,1,1,1,0,2,2,8,8,1
22.08,0.83,2.165,0,128,1,1,0,0,1,2,2,8,8,1
32.67,9.0,5.25,0,154,1,1,1,0,1,2,1,8,9,1
32.17,1.46,1.085,16,120,2080,0,1,1,0,2,2,4,9,1
28.17,0.375,0.585,4,80,1,0,1,1,0,2,2,4,11,1
33.92,1.585,0.0,0,320,1,0,1,0,0,2,1,1,1,0
35.25,3.165,3.75,0,680,1,1,1,0,1,2,2,8,14,0
21.58,0.79,0.665,0,160,1,1,0,0,0,2,1,4,13,0
18.17,10.0,0.165,0,340,1,0,0,0,0,2,1,8,11,0
22.83,2.29,2.29,7,140,2385,0,1,1,1,2,2,8,11,1
29.17,3.5,3.5,3,329,1,1,1,1,1,2,2,4,9,0
34.17,2.75,2.5,0,232,201,1,0,0,1,2,2,5,3,0
22.67,0.335,0.75,0,160,1,0,0,0,0,1,2,4,11,0
35.75,2.415,0.125,2,220,2,1,0,1,0,2,2,4,9,0
28.5,1.0,1.0,2,167,501,0,1,1,1,2,2,4,11,0
45.0,8.5,14.0,1,88,2001,1,1,1,1,2,2,8,13,1
39.08,4.0,3.0,0,480,1,0,0,0,0,2,2,4,8,0
32.33,7.5,1.585,0,420,1,1,1,0,1,1,2,5,10,0
39.42,1.71,0.165,0,400,1,1,0,0,0,1,1,4,7,0
20.08,0.25,0.125,0,200,1,1,0,0,0,2,2,4,11,0
31.08,1.5,0.04,0,160,1,1,0,0,0,1,1,4,9,0
26.33,13.0,0.0,0,140,1111,1,0,0,1,2,2,2,10,0
19.0,1.75,2.335,0,112,7,1,0,0,1,2,1,4,8,0
20.25,9.96,0.0,0,0,1,1,1,0,0,2,2,2,10,1
22.5,11.5,1.5,0,0,4001,1,0,0,1,2,1,4,7,0
31.57,4.0,0.085,0,411,1,1,0,0,1,2,1,4,3,0
27.42,14.5,3.085,1,120,12,0,1,1,0,2,2,8,14,1
52.5,6.5,6.29,15,0,11203,1,1,1,0,2,2,4,4,1
24.5,13.335,0.04,0,120,476,1,0,0,1,2,1,4,6,0
34.0,5.085,1.085,0,480,1,1,0,0,1,2,1,5,3,0
20.42,7.0,1.625,3,200,1392,1,1,1,0,2,2,4,8,1
22.67,2.54,2.585,0,0,1,1,1,0,0,2,1,8,8,1
23.58,0.46,2.625,6,208,348,1,1,1,1,2,1,4,9,0
22.67,1.585,3.085,6,80,1,1,1,1,0,2,1,4,9,1
23.25,1.0,0.835,0,300,1,1,1,0,0,1,2,4,8,1
23.75,0.415,0.04,2,128,7,1,0,1,0,2,1,4,8,0
25.67,0.29,1.5,0,160,1,1,0,0,1,2,1,4,8,0
24.42,12.335,1.585,0,120,1,1,1,0,1,2,2,8,11,1
35.75,0.915,0.75,4,0,1584,0,1,1,0,2,2,4,6,1
19.5,9.585,0.79,0,80,351,1,0,0,0,2,2,4,6,0
54.42,0.5,3.96,0,180,315,1,1,0,0,2,1,8,4,1
49.83,13.585,8.5,0,0,1,0,1,0,1,2,2,8,4,1
21.0,4.79,2.25,1,80,301,1,1,1,1,2,1,4,9,1
18.42,10.415,0.125,0,120,376,1,1,0,0,2,1,4,6,0
52.33,1.375,9.46,0,200,101,1,1,0,1,2,1,8,8,0
32.33,2.5,1.25,0,280,1,1,0,0,1,2,2,4,8,0
19.58,0.585,0.0,3,350,770,1,0,1,0,2,2,1,1,0
60.92,5.0,4.0,4,0,100,0,1,1,0,2,2,4,6,1
25.33,0.58,0.29,7,96,5125,1,1,1,1,2,2,4,8,1
30.67,12.0,2.0,1,220,20,0,1,1,0,2,2,4,8,1
41.33,0.0,15.0,0,0,1,1,1,0,0,2,2,5,8,1
27.83,1.5,2.0,11,434,36,1,1,1,1,2,2,4,9,1
52.17,0.0,0.0,0,0,1,0,0,0,0,2,1,1,1,0
27.58,3.0,2.79,1,280,11,0,0,1,1,2,2,4,7,0
29.5,2.0,2.0,0,256,18,0,0,0,0,2,1,8,10,0
26.17,12.5,1.25,0,0,18,1,0,0,1,2,1,8,4,0
20.83,8.5,0.165,0,0,352,0,0,0,0,2,2,4,8,0
40.83,3.5,0.5,0,1160,1,0,0,0,0,1,2,5,3,0
32.25,0.165,3.25,1,432,8001,1,1,1,1,2,1,8,8,1
41.17,6.5,0.5,3,145,1,0,1,1,1,2,2,4,11,1
19.17,9.5,1.5,0,120,2207,1,1,0,0,2,2,4,9,1
54.58,9.415,14.415,11,30,301,1,1,1,1,2,2,1,1,1
34.0,4.5,1.0,0,240,1,1,1,0,1,2,2,4,6,0
64.08,0.165,0.0,1,232,101,0,1,1,0,2,2,1,1,1
20.42,1.085,1.5,0,108,8,1,0,0,0,2,2,4,11,0
21.17,0.25,0.25,0,280,205,1,0,0,0,2,1,8,8,0
46.67,0.46,0.415,11,440,7,0,1,1,1,2,2,8,13,1
18.58,5.71,0.54,0,120,1,1,0,0,0,2,2,4,2,0
39.17,2.5,10.0,0,200,1,1,0,0,1,1,1,8,3,0
24.17,0.875,4.625,2,520,2001,1,1,1,1,2,2,4,11,1
20.5,10.0,2.5,0,40,1,1,1,0,0,1,1,4,8,1
31.57,1.5,0.0,2,200,106,0,0,1,1,2,2,1,1,0
19.17,0.585,0.585,0,160,1,0,1,0,1,2,1,4,6,0
23.92,1.5,1.875,6,200,328,1,1,1,0,2,2,8,2,1
38.17,10.125,2.5,6,520,197,1,1,1,0,2,2,4,14,1
32.92,2.5,1.75,2,720,1,1,0,1,1,2,2,4,6,0
29.5,0.58,0.29,1,340,2804,1,0,1,0,2,2,4,9,0
39.25,9.5,6.5,14,240,4608,1,1,1,0,2,2,4,7,1
33.75,2.75,0.0,0,180,1,1,0,0,0,2,2,5,3,0
34.0,5.5,1.5,0,60,1,1,0,0,1,2,1,4,8,0
20.0,0.0,0.5,0,144,1,1,0,0,0,2,2,4,2,0
35.17,25.125,1.625,1,515,501,1,1,1,1,2,2,8,14,1
48.08,3.75,1.0,0,100,3,1,0,0,0,2,2,5,3,0
19.33,9.5,1.0,0,60,401,1,1,0,1,2,2,4,11,1
69.17,9.0,4.0,1,70,7,1,0,1,0,2,2,1,1,0
27.83,1.5,2.25,1,100,4,1,0,1,1,2,2,4,9,0
28.75,3.75,1.085,1,371,1,0,1,1,1,2,2,4,8,1
50.08,12.54,2.29,3,156,1,0,1,1,1,2,2,4,6,1
24.33,6.625,5.5,0,100,1,1,1,0,1,1,1,4,2,1
36.42,0.75,0.585,0,240,4,1,0,0,0,2,1,4,2,0
21.17,0.875,0.25,0,280,205,1,0,0,0,2,1,8,8,0
26.67,1.75,1.0,5,160,5778,1,1,1,1,2,1,4,8,1
32.83,2.5,2.75,6,160,2073,1,1,1,0,2,2,8,13,1
28.17,0.585,0.04,0,260,1005,0,0,0,0,2,2,4,6,0
27.67,1.5,2.0,0,368,1,0,1,0,0,1,2,4,7,0
27.0,1.5,0.375,0,260,1066,1,1,0,1,2,1,4,9,1
18.58,10.29,0.415,0,80,1,1,0,0,0,2,2,1,1,0
56.83,4.25,5.0,0,0,5,0,0,0,1,2,1,1,1,0
51.92,6.5,3.085,0,73,1,0,0,0,1,2,2,5,3,0
16.08,0.335,0.0,1,160,127,0,0,1,0,2,2,1,1,0
20.17,9.25,1.665,3,40,29,1,1,1,1,2,2,4,8,1
33.17,2.25,3.5,0,200,142,0,0,0,1,2,1,4,13,0
22.17,12.125,3.335,2,180,174,1,0,1,1,2,2,4,8,0
51.83,2.04,1.5,0,120,2,1,0,0,0,2,1,1,1,0
24.75,12.5,1.5,12,120,568,0,1,1,1,2,2,4,6,1
18.83,4.415,3.0,0,240,1,0,1,0,0,2,1,8,8,1
28.5,3.04,2.54,1,70,1,0,1,1,0,2,1,8,14,1
39.83,0.5,0.25,0,288,1,1,1,0,0,1,2,4,7,0
41.33,1.0,2.25,0,0,301,0,1,0,1,2,2,5,3,1
34.58,0.0,0.0,0,184,1,1,0,0,0,3,2,4,8,0
19.67,10.0,0.835,0,140,1,1,1,0,1,2,1,8,4,0
24.58,0.67,1.75,0,400,1,0,1,0,0,2,2,8,6,0
16.92,0.335,0.29,0,200,1,1,0,0,0,1,1,4,4,0
15.17,7.0,1.0,0,600,1,1,0,0,0,2,2,4,10,0
21.33,7.5,1.415,1,80,9801,1,1,1,0,2,2,4,6,1
33.5,1.75,4.5,4,253,858,1,1,1,1,2,2,8,14,1
28.58,3.625,0.25,0,100,1,1,0,0,1,2,2,4,6,0
38.92,1.665,0.25,0,0,391,0,0,0,0,2,2,4,6,0
29.5,0.46,0.54,4,380,501,0,1,1,0,2,2,4,4,1
22.92,11.585,0.04,0,80,1350,0,1,0,0,2,2,4,13,1
30.58,2.71,0.125,0,80,1,1,0,0,1,1,1,4,7,0
